Ref,Val,Package,PosX,PosY,Rot,Side
"U1","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",23.250000,-25.750000,180.000000,bottom
"10Kohm_1","10KOhm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",29.250000,-26.000000,-90.000000,top
"10uF_1","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",29.250000,-30.750000,90.000000,top
"10uF_2","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",17.250000,-30.750000,90.000000,top
"330ohm_1","330Ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",17.250000,-26.000000,90.000000,top
"J1","USB_A","USB_A_Molex_48037-2200_Horizontal",23.000000,-49.550000,-90.000000,top
"J2","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",27.205000,-15.045000,-90.000000,top
"U2","AP2112K-3.3","SOT-23-5",23.250000,-20.750000,-90.000000,top
"led_1","led","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",23.250000,-23.750000,180.000000,top
